distance,threshold
-5887.78,1.78651e+06
-5869.74,1.77381e+06
-5851.7,1.76116e+06
-5833.67,1.74857e+06
-5815.63,1.73604e+06
-5797.6,1.72357e+06
-5779.56,1.71115e+06
-5761.52,1.69879e+06
-5743.49,1.68648e+06
-5725.45,1.67423e+06
-5707.41,1.66204e+06
-5689.38,1.6499e+06
-5671.34,1.63782e+06
-5653.31,1.62579e+06
-5635.27,1.61382e+06
-5617.23,1.6019e+06
-5599.2,1.59004e+06
-5581.16,1.57823e+06
-5563.13,1.56648e+06
-5545.09,1.55479e+06
-5527.05,1.54314e+06
-5509.02,1.53156e+06
-5490.98,1.52003e+06
-5472.95,1.50855e+06
-5454.91,1.49713e+06
-5436.87,1.48576e+06
-5418.84,1.47444e+06
-5400.8,1.46318e+06
-5382.77,1.45197e+06
-5364.73,1.44082e+06
-5346.69,1.42972e+06
-5328.66,1.41868e+06
-5310.62,1.40768e+06
-5292.59,1.39674e+06
-5274.55,1.38586e+06
-5256.51,1.37503e+06
-5238.48,1.36425e+06
-5220.44,1.35352e+06
-5202.4,1.34284e+06
-5184.37,1.33222e+06
-5166.33,1.32165e+06
-5148.3,1.31114e+06
-5130.26,1.30067e+06
-5112.22,1.29026e+06
-5094.19,1.2799e+06
-5076.15,1.26959e+06
-5058.12,1.25933e+06
-5040.08,1.24913e+06
-5022.04,1.23897e+06
-5004.01,1.22887e+06
-4985.97,1.21882e+06
-4967.94,1.20882e+06
-4949.9,1.19888e+06
-4931.86,1.18898e+06
-4913.83,1.17913e+06
-4895.79,1.16934e+06
-4877.76,1.15959e+06
-4859.72,1.1499e+06
-4841.68,1.14025e+06
-4823.65,1.13066e+06
-4805.61,1.12112e+06
-4787.58,1.11163e+06
-4769.54,1.10218e+06
-4751.5,1.09279e+06
-4733.47,1.08345e+06
-4715.43,1.07415e+06
-4697.39,1.06491e+06
-4679.36,1.05571e+06
-4661.32,1.04657e+06
-4643.29,1.03747e+06
-4625.25,1.02842e+06
-4607.21,1.01942e+06
-4589.18,1.01047e+06
-4571.14,1.00157e+06
-4553.11,992718
-4535.07,983914
-4517.03,975158
-4499,966450
-4480.96,957792
-4462.93,949180
-4444.89,940618
-4426.85,932103
-4408.82,923635
-4390.78,915216
-4372.75,906844
-4354.71,898519
-4336.67,890242
-4318.64,882012
-4300.6,873829
-4282.57,865693
-4264.53,857604
-4246.49,849562
-4228.46,841566
-4210.42,833617
-4192.38,825715
-4174.35,817858
-4156.31,810048
-4138.28,802284
-4120.24,794567
-4102.2,786894
-4084.17,779268
-4066.13,771687
-4048.1,764152
-4030.06,756662
-4012.02,749217
-3993.99,741818
-3975.95,734463
-3957.92,727154
-3939.88,719889
-3921.84,712669
-3903.81,705494
-3885.77,698363
-3867.74,691277
-3849.7,684235
-3831.66,677237
-3813.63,670283
-3795.59,663373
-3777.56,656507
-3759.52,649684
-3741.48,642905
-3723.45,636170
-3705.41,629477
-3687.37,622828
-3669.34,616222
-3651.3,609659
-3633.27,603139
-3615.23,596662
-3597.19,590227
-3579.16,583834
-3561.12,577485
-3543.09,571177
-3525.05,564912
-3507.01,558688
-3488.98,552507
-3470.94,546367
-3452.91,540269
-3434.87,534213
-3416.83,528198
-3398.8,522224
-3380.76,516292
-3362.73,510400
-3344.69,504550
-3326.65,498741
-3308.62,492972
-3290.58,487244
-3272.55,481556
-3254.51,475909
-3236.47,470302
-3218.44,464735
-3200.4,459209
-3182.36,453722
-3164.33,448276
-3146.29,442868
-3128.26,437501
-3110.22,432172
-3092.18,426883
-3074.15,421634
-3056.11,416423
-3038.08,411252
-3020.04,406119
-3002,401025
-2983.97,395970
-2965.93,390954
-2947.9,385975
-2929.86,381035
-2911.82,376133
-2893.79,371269
-2875.75,366444
-2857.72,361655
-2839.68,356905
-2821.64,352192
-2803.61,347516
-2785.57,342878
-2767.54,338277
-2749.5,333713
-2731.46,329186
-2713.43,324696
-2695.39,320242
-2677.35,315826
-2659.32,311445
-2641.28,307101
-2623.25,302794
-2605.21,298522
-2587.17,294286
-2569.14,290087
-2551.1,285923
-2533.07,281794
-2515.03,277701
-2496.99,273644
-2478.96,269622
-2460.92,265636
-2442.89,261684
-2424.85,257767
-2406.81,253886
-2388.78,250038
-2370.74,246226
-2352.71,242448
-2334.67,238705
-2316.63,234995
-2298.6,231321
-2280.56,227679
-2262.53,224072
-2244.49,220499
-2226.45,216959
-2208.42,213453
-2190.38,209980
-2172.34,206541
-2154.31,203134
-2136.27,199761
-2118.24,196420
-2100.2,193113
-2082.16,189838
-2064.13,186596
-2046.09,183386
-2028.06,180208
-2010.02,177062
-1991.98,173949
-1973.95,170868
-1955.91,167818
-1937.88,164800
-1919.84,161814
-1901.8,158859
-1883.77,155936
-1865.73,153043
-1847.7,150182
-1829.66,147352
-1811.62,144552
-1793.59,141784
-1775.55,139045
-1757.52,136338
-1739.48,133661
-1721.44,131014
-1703.41,128397
-1685.37,125810
-1667.33,123253
-1649.3,120726
-1631.26,118228
-1613.23,115761
-1595.19,113322
-1577.15,110913
-1559.12,108532
-1541.08,106181
-1523.05,103858
-1505.01,101565
-1486.97,99299.8
-1468.94,97062.9
-1450.9,94855.1
-1432.87,92675.4
-1414.83,90523.7
-1396.79,88399.9
-1378.76,86304.2
-1360.72,84236
-1342.69,82195.7
-1324.65,80182.9
-1306.61,78197.4
-1288.58,76239.4
