distance,threshold
-1000,48520.6
-990.909,47754.8
-981.818,46995.6
-972.727,46242.2
-963.636,45495.5
-954.545,44755.5
-945.455,44022.1
-936.364,43293.5
-927.273,42572.5
-918.182,41857.2
-909.091,41148.7
-900,40445.8
-890.909,39749.6
-881.818,39059.2
-872.727,38375.4
-863.636,37697.3
-854.545,37025.9
-845.455,36360.3
-836.364,35701.3
-827.273,35048
-818.182,34400.5
-809.091,33759.6
-800,33124.4
-790.909,32496
-781.818,31873.2
-772.727,31256.2
-763.636,30644.9
-754.545,30040.3
-745.455,29441.4
-736.364,28848.2
-727.273,28260.7
-718.182,27679.9
-709.091,27104.9
-700,26535.5
-690.909,25971.9
-681.818,25414
-672.727,24862.8
-663.636,24317.3
-654.545,23776.5
-645.455,23242.5
-636.364,22714.1
-627.273,22191.5
-618.182,21674.6
-609.091,21163.5
-600,20658
-590.909,20158.3
-581.818,19664.3
-572.727,19176
-563.636,18693.4
-554.545,18216.6
-545.455,17745.5
-536.364,17279.1
-527.273,16819.5
-518.182,16364.6
-509.091,15915.4
-500,15471.9
-490.909,15034.2
-481.818,14601.2
-472.727,14174.9
-463.636,13753.4
-454.545,13336.7
-445.455,12926.6
-436.364,12521.3
-427.273,12121.7
-418.182,11727.8
-409.091,11338.7
-400,10955.3
-390.909,10576.7
-381.818,10203.8
-372.727,9835.72
-363.636,9473.32
-354.545,9116.65
-345.455,8764.74
-336.364,8417.61
-327.273,8076.19
-318.182,7739.54
-309.091,7407.67
-300,7081.51
-290.909,6760.12
-281.818,6443.5
-272.727,6132.6
-263.636,5825.52
-254.545,5524.16
-245.455,5226.61
-236.364,4933.83
-227.273,4645.82
-218.182,4362.58
-209.091,4083.16
-200,3807.54
-190.909,3534.79
-181.818,3266.81
-172.727,3000.74
-163.636,2736.57
-154.545,2474.31
-145.455,2212.05
-136.364,1945.97
-127.273,1674.18
-118.182,1386.17
-109.091,1058.1
-100,464.916
