-300,-200
300,13484.4,11078.1
266.667,12296.9,9765.62
233.333,11203.1,8609.38
200,10265.6,7578.12
166.667,9453.12,6671.88
133.333,8765.62,5921.88
100,8234.38,5265.62
66.6667,7859.38,4765.62
33.3333,7609.38,4453.12
0,7515.62,4359.38
