-1000,-968.966,-937.931,-906.897,-875.862,-844.828,-813.793,-782.759,-751.724,-720.69,-689.655,-658.621,-627.586,-596.552,-565.517,-534.483,-503.448,-472.414,-441.379,-410.345,-379.31,-348.276,-317.241,-286.207,-255.172,-224.138,-193.103,-162.069,-131.034,-100
0.1,828938,779562,731938,685938,641438,598688,557562,517938,479812,443312,408312,374812,342812,312312,283188,255562,229438,204562,181188,159188,138562,119312,101312,84687.5,69187.5,55062.5,42062.5,30187.5,19062.5,4437.5
0.104165,828938,779562,731938,685938,641438,598688,557562,517938,479812,443312,408312,374812,342812,312312,283188,255562,229438,204562,181188,159188,138562,119312,101312,84687.5,69187.5,55062.5,42062.5,30187.5,19062.5,4437.5
0.108687,828938,779562,731938,685938,641438,598688,557562,517938,479812,443312,408312,374812,342812,312312,283188,255562,229438,204562,181188,159188,138562,119312,101312,84687.5,69187.5,55062.5,42062.5,30187.5,19062.5,4437.5
0.113615,672562,632688,594188,556938,521062,486438,453062,421062,390312,360688,332312,305188,279312,254562,231062,208562,187312,167188,148188,130312,113562,97812.5,83187.5,69562.5,56937.5,45437.5,34812.5,24937.5,15812.5,3687.5
0.119004,672562,632688,594188,556938,521062,486438,453062,421062,390312,360688,332312,305188,279312,254562,231062,208562,187312,167188,148188,130312,113562,97812.5,83187.5,69562.5,56937.5,45437.5,34812.5,24937.5,15812.5,3687.5
0.124921,672562,632688,594188,556938,521062,486438,453062,421062,390312,360688,332312,305188,279312,254562,231062,208562,187312,167188,148188,130312,113562,97812.5,83187.5,69562.5,56937.5,45437.5,34812.5,24937.5,15812.5,3687.5
0.131448,672562,632688,594188,556938,521062,486438,453062,421062,390312,360688,332312,305188,279312,254562,231062,208562,187312,167188,148188,130312,113562,97812.5,83187.5,69562.5,56937.5,45437.5,34812.5,24937.5,15812.5,3687.5
0.13868,567188,533688,501312,470062,439812,410812,382688,355812,329812,304938,281188,258312,236438,215688,195812,176938,158938,141938,125938,110812,96687.5,83312.5,70937.5,59437.5,48687.5,38812.5,29812.5,21437.5,13562.5,3187.5
0.146737,567188,533688,501312,470062,439812,410812,382688,355812,329812,304938,281188,258312,236438,215688,195812,176938,158938,141938,125938,110812,96687.5,83312.5,70937.5,59437.5,48687.5,38812.5,29812.5,21437.5,13562.5,3187.5
0.155764,567188,533688,501312,470062,439812,410812,382688,355812,329812,304938,281188,258312,236438,215688,195812,176938,158938,141938,125938,110812,96687.5,83312.5,70937.5,59437.5,48687.5,38812.5,29812.5,21437.5,13562.5,3187.5
0.165943,491312,462312,434438,407438,381312,356188,331938,308688,286312,264812,244188,224438,205562,187438,170312,153938,138438,123688,109812,96687.5,84312.5,72812.5,62062.5,51937.5,42687.5,34062.5,26187.5,18812.5,11937.5,2812.5
0.177502,491312,462312,434438,407438,381312,356188,331938,308688,286312,264812,244188,224438,205562,187438,170312,153938,138438,123688,109812,96687.5,84312.5,72812.5,62062.5,51937.5,42687.5,34062.5,26187.5,18812.5,11937.5,2812.5
0.19073,433938,408562,383812,360062,337062,314938,293562,273062,253312,234312,216188,198688,182062,166188,150938,136562,122812,109812,97562.5,85937.5,75062.5,64812.5,55187.5,46312.5,38062.5,30437.5,23437.5,16937.5,10812.5,2562.5
0.206003,433938,408562,383812,360062,337062,314938,293562,273062,253312,234312,216188,198688,182062,166188,150938,136562,122812,109812,97562.5,85937.5,75062.5,64812.5,55187.5,46312.5,38062.5,30437.5,23437.5,16937.5,10812.5,2562.5
0.223807,389188,366438,344312,323062,302438,282688,263562,245188,227438,210562,194188,178562,163688,149438,135812,122938,110562,98937.5,87937.5,77437.5,67687.5,58562.5,49937.5,41937.5,34437.5,27562.5,21187.5,15312.5,9812.5,2312.5
0.24479,353188,332562,312562,293312,274688,256688,239438,222812,206688,191312,176562,162438,148938,135938,123688,111938,100688,90187.5,80062.5,70687.5,61812.5,53437.5,45562.5,38312.5,31562.5,25312.5,19437.5,14062.5,8937.5,2187.5
0.269819,323688,304812,286562,268938,251812,235438,219562,204312,189688,175562,162062,149188,136688,124938,113562,102812,92562.5,82937.5,73687.5,65062.5,56937.5,49187.5,42062.5,35312.5,29062.5,23312.5,18062.5,13062.5,8312.5,2062.5
0.300078,299062,281562,264812,248438,232812,217688,203062,188938,175438,162438,149938,138062,126562,115688,105188,95312.5,85812.5,76812.5,68312.5,60312.5,52812.5,45687.5,39062.5,32812.5,27062.5,21687.5,16812.5,12187.5,7812.5,1937.5
0.337199,278062,261938,246312,231188,216562,202562,188938,175938,163312,151312,139688,128562,117938,107812,98062.5,88812.5,80062.5,71687.5,63812.5,56312.5,49312.5,42687.5,36437.5,30687.5,25312.5,20312.5,15687.5,11437.5,7312.5,1812.5
0.383453,244562,230438,216688,203438,190688,178312,166438,154938,143938,133312,123188,113438,104062,95187.5,86562.5,78437.5,70687.5,63437.5,56437.5,49937.5,43687.5,37812.5,32437.5,27312.5,22562.5,18062.5,14062.5,10187.5,6562.5,1562.5
0.441998,208188,196188,184562,173312,162562,152062,141938,132188,122812,113812,105188,96937.5,88937.5,81437.5,74062.5,67187.5,60687.5,54312.5,48437.5,42812.5,37562.5,32562.5,27937.5,23562.5,19437.5,15687.5,12187.5,8812.5,5687.5,1437.5
0.51716,182188,171688,161562,151812,142312,133188,124438,115938,107812,99937.5,92312.5,85062.5,78187.5,71562.5,65187.5,59187.5,53312.5,47937.5,42687.5,37812.5,33187.5,28812.5,24687.5,20812.5,17187.5,13937.5,10812.5,7812.5,5062.5,1187.5
