distance,threshold
-1000,48520.9
-998.196,48368.3
-996.393,48216.3
-994.589,48064.3
-992.786,47912.3
-990.982,47760.9
-989.178,47610.1
-987.375,47459.3
-985.571,47308.5
-983.768,47157.7
-981.964,47007.5
-980.16,46857.9
-978.357,46708.3
-976.553,46558.7
-974.749,46409.7
-972.946,46260.7
-971.142,46112.2
-969.339,45963.8
-967.535,45815.4
-965.731,45667.6
-963.928,45519.8
-962.124,45372.5
-960.321,45225.3
-958.517,45078.1
-956.713,44931.5
-954.91,44785.4
-953.106,44638.8
-951.303,44493.4
-949.499,44347.3
-947.695,44201.9
-945.892,44057.1
-944.088,43912.2
-942.285,43767.4
-940.481,43622.6
-938.677,43478.9
-936.874,43334.7
-935.07,43191
-933.267,43047.4
-931.463,42904.3
-929.659,42761.3
-927.856,42618.8
-926.052,42476.4
-924.248,42333.9
-922.445,42192
-920.641,42050.2
-918.838,41908.9
-917.034,41767.7
-915.23,41627
-913.427,41486.3
-911.623,41345.7
-909.82,41205.6
-908.016,41065.5
-906.212,40925.4
-904.409,40786
-902.605,40647.1
-900.802,40507.6
-898.998,40369.3
-897.194,40230.5
-895.391,40092.2
-893.587,39954.5
-891.784,39816.2
-889.98,39679.1
-888.176,39541.4
-886.373,39404.3
-884.569,39267.8
-882.766,39131.3
-880.962,38994.8
-879.158,38859
-877.355,38723.1
-875.551,38587.2
-873.747,38451.9
-871.944,38317.1
-870.14,38181.8
-868.337,38047.7
-866.533,37913
-864.729,37778.9
-862.926,37644.8
-861.122,37511.3
-859.319,37377.8
-857.515,37244.9
-855.711,37111.9
-853.908,36979
-852.104,36846.7
-850.301,36714.4
-848.497,36582.6
-846.693,36450.9
-844.89,36319.8
-843.086,36188.1
-841.283,36057.5
-839.479,35926.4
-837.675,35795.9
-835.872,35665.9
-834.068,35536
-832.265,35406.1
-830.461,35276.7
-828.657,35147.4
-826.854,35018
-825.05,34889.3
-823.246,34760.5
-821.443,34632.4
-819.639,34504.2
-817.836,34376.1
-816.032,34248.5
-814.228,34121.6
-812.425,33994
-810.621,33867.1
-808.818,33740.7
-807.014,33614.3
-805.21,33488
-803.407,33362.2
-801.603,33236.4
-799.8,33110.7
-797.996,32985.5
-796.192,32860.9
-794.389,32735.8
-792.585,32611.2
-790.782,32487.2
-788.978,32363.2
-787.174,32239.3
-785.371,32115.9
-783.567,31992.5
-781.764,31869.1
-779.96,31746.3
-778.156,31623.5
-776.353,31501.4
-774.549,31379.2
-772.745,31257
-770.942,31135.4
-769.138,31013.8
-767.335,30892.8
-765.531,30771.8
-763.727,30650.8
-761.924,30530.4
-760.12,30410
-758.317,30290.2
-756.513,30170.4
-754.709,30051.2
-752.906,29931.4
-751.102,29812.8
-749.299,29693.5
-747.495,29574.9
-745.691,29456.3
-743.888,29338.3
-742.084,29220.3
-740.281,29102.9
-738.477,28985.4
-736.673,28868
-734.87,28751.2
-733.066,28634.4
-731.263,28518.1
-729.459,28401.9
-727.655,28285.7
-725.852,28170
-724.048,28054.4
-722.244,27938.8
-720.441,27823.7
-718.637,27708.7
-716.834,27594.3
-715.03,27479.8
-713.226,27365.4
-711.423,27251.5
-709.619,27138.3
-707.816,27024.4
-706.012,26911.2
-704.208,26798.5
-702.405,26685.3
-700.601,26572.6
-698.798,26460.6
-696.994,26348.5
-695.19,26236.5
-693.387,26125
-691.583,26013.6
-689.78,25902.7
-687.976,25791.8
-686.172,25681
-684.369,25570.1
-682.565,25459.8
-680.762,25350.2
-678.958,25240.5
-677.154,25130.8
-675.351,25021.7
-673.547,24912.7
-671.743,24803.6
-669.94,24695.1
-668.136,24586.6
-666.333,24478.1
-664.529,24370.3
-662.725,24263
-660.922,24155.1
-659.118,24047.8
-657.315,23941.1
-655.511,23834.4
-653.707,23727.7
-651.904,23621
-650.1,23514.9
-648.297,23409.4
-646.493,23303.3
-644.689,23198.4
-642.886,23092.9
-641.082,22988
