distance,threshold
-639.279,22883.1
-637.475,22778.8
-635.671,22674.5
-633.868,22570.2
-632.064,22466.5
-630.261,22362.8
-628.457,22259.7
-626.653,22156.5
-624.85,22053.4
-623.046,21950.9
-621.242,21848.4
-619.439,21745.9
-617.635,21643.9
-615.832,21542
-614.028,21440.7
-612.224,21339.4
-610.421,21238
-608.617,21137.3
-606.814,21036.6
-605.01,20936.4
-603.206,20836.3
-601.403,20736.2
-599.599,20636
-597.796,20536.5
-595.992,20437.5
-594.188,20338.6
-592.385,20239.7
-590.581,20140.7
-588.778,20042.4
-586.974,19944
-585.17,19846.3
-583.367,19748.5
-581.563,19650.8
-579.76,19553.6
-577.956,19456.4
-576.152,19359.9
-574.349,19263.3
-572.545,19166.8
-570.741,19070.2
-568.938,18974.2
-567.134,18878.9
-565.331,18783.5
-563.527,18688.1
-561.723,18592.8
-559.92,18498
-558.116,18403.2
-556.313,18309.1
-554.509,18214.9
-552.705,18120.7
-550.902,18027.1
-549.098,17933.5
-547.295,17840.6
-545.491,17747
-543.687,17654.6
-541.884,17561.6
-540.08,17469.2
-538.277,17376.8
-536.473,17285
-534.669,17193.3
-532.866,17102.1
-531.062,17010.3
-529.259,16919.7
-527.455,16828.5
-525.651,16737.9
-523.848,16647.3
-522.044,16557.3
-520.24,16467.3
-518.437,16377.3
-516.633,16287.9
-514.83,16198.5
-513.026,16109
-511.222,16020.2
-509.419,15931.4
-507.615,15843.2
-505.812,15755
-504.008,15666.8
-502.204,15579.2
-500.401,15491.5
-498.597,15403.9
-496.794,15316.9
-494.99,15229.9
-493.186,15143.5
-491.383,15057
-489.579,14970.6
-487.776,14884.2
-485.972,14798.3
-484.168,14713.1
-482.365,14627.3
-480.561,14542
-478.758,14457.4
-476.954,14372.2
-475.15,14288.1
-473.347,14203.5
-471.543,14119.4
-469.739,14035.4
-467.936,13952
-466.132,13868.5
-464.329,13785.1
-462.525,13702.2
-460.721,13619.4
-458.918,13536.5
-457.114,13454.3
-455.311,13372
-453.507,13289.7
-451.703,13208.1
-449.9,13126.4
-448.096,13045.4
-446.293,12964.3
-444.489,12883.2
-442.685,12802.8
-440.882,12722.3
-439.078,12641.8
-437.275,12562
-435.471,12482.1
-433.667,12402.2
-431.864,12323
-430.06,12243.7
-428.257,12165
-426.453,12085.7
-424.649,12007.7
-422.846,11929
-421.042,11850.9
-419.238,11772.8
-417.435,11695.3
-415.631,11617.8
-413.828,11540.4
-412.024,11463.5
-410.22,11386.6
-408.417,11309.7
-406.613,11233.4
-404.81,11157.1
-403.006,11081.4
-401.202,11005.1
-399.399,10929.4
-397.595,10854.3
-395.792,10779.2
-393.988,10704.1
-392.184,10629.6
-390.381,10555.1
-388.577,10480.6
-386.774,10406.1
-384.97,10332.2
-383.166,10258.9
-381.363,10184.9
-379.559,10111.6
-377.756,10038.9
-375.952,9965.6
-374.148,9892.88
-372.345,9820.76
-370.541,9748.64
-368.737,9676.52
-366.934,9604.39
-365.13,9532.87
-363.327,9461.34
-361.523,9389.82
-359.719,9318.89
-357.916,9247.96
-356.112,9177.63
-354.309,9107.29
-352.505,9036.96
-350.701,8966.62
-348.898,8896.89
-347.094,8827.75
-345.291,8758.01
-343.487,8688.87
-341.683,8619.73
-339.88,8551.18
-338.076,8482.64
-336.273,8414.09
-334.469,8346.14
-332.665,8278.19
-330.862,8210.24
-329.058,8142.89
-327.255,8075.54
-325.451,8008.18
-323.647,7940.83
-321.844,7874.07
-320.04,7807.91
-318.236,7741.15
-316.433,7674.99
-314.629,7609.43
-312.826,7543.27
-311.022,7477.7
-309.218,7412.73
-307.415,7347.76
-305.611,7282.79
-303.808,7217.82
-302.004,7153.45
-300.2,7089.08
-298.397,7024.71
-296.593,6960.93
-294.79,6897.15
-292.986,6833.37
-291.182,6770.19
-289.379,6707.01
-287.575,6643.83
-285.772,6580.65
-283.968,6518.07
-282.164,6456.08
-280.361,6393.49
-278.557,6331.5
-276.754,6270.11
-274.95,6208.12
-273.146,6146.73
-271.343,6085.34
-269.539,6024.54
-267.735,5963.74
-265.932,5902.95
-264.128,5842.15
-262.325,5781.95
-260.521,5721.75
-258.717,5662.14
-256.914,5601.94
-255.11,5542.34
-253.307,5483.33
-251.503,5423.72
-249.699,5364.72
-247.896,5306.3
-246.092,5247.29
-244.289,5188.88
-242.485,5130.47
-240.681,5072.65
-238.878,5014.84
-237.074,4957.02
-235.271,4899.2
-233.467,4841.98
-231.663,4784.76
-229.86,4727.54
-228.056,4670.92
-226.253,4614.29
-224.449,4557.67
-222.645,4501.04
-220.842,4445.02
-219.038,4388.99
-217.234,4332.96
-215.431,4277.53
-213.627,4221.5
-211.824,4166.66
-210.02,4111.23
-208.216,4055.8
-206.413,4000.96
-204.609,3946.13
-202.806,3891.89
-201.002,3837.05
-199.198,3782.81
-197.395,3728.57
-195.591,3674.92
-193.788,3620.68
-191.984,3567.04
-190.18,3513.4
-188.377,3459.75
-186.573,3406.7
-184.77,3353.06
-182.966,3300.01
-181.162,3246.96
-179.359,3194.51
-177.555,3141.46
-175.752,3089.01
-173.948,3035.96
-172.144,2983.51
-170.341,2931.06
-168.537,2878.61
-166.733,2826.75
-164.93,2774.3
-163.126,2722.44
-161.323,2669.99
-159.519,2618.13
-157.715,2566.28
-155.912,2513.83
-154.108,2461.97
-152.305,2410.11
-150.501,2357.66
-148.697,2305.81
-146.894,2253.35
-145.09,2200.9
-143.287,2149.05
-141.483,2096.59
-139.679,2043.55
-137.876,1991.09
-136.072,1938.05
-134.269,1884.4
-132.465,1830.76
-130.661,1776.52
-128.858,1722.28
-127.054,1667.44
-125.251,1612.01
-123.447,1555.98
-121.643,1498.76
-119.84,1440.35
-118.036,1381.34
-116.232,1320.54
-114.429,1258.55
-112.625,1193.58
-110.822,1126.23
-109.018,1054.7
-107.214,978.41
-105.411,893.772
-103.607,797.212
-101.804,673.831
-100,465.214
