-250,-250
-191.421,8296.88,8296.88
-141.421,7203.12,7203.12
-91.4214,6421.88,6421.88
-41.4214,5984.38,5984.38
8.57864,5859.38,5859.38
58.5786,6078.12,6078.12
108.579,6640.62,6640.62
